id,glon,glat
898,247.85,-60.73
899,179.67,-50.64
900,224.1,-61.85
901,216.57,-61.27
902,166.8,-40.74
903,231.73,-61.79
904,180.47,-50.7
905,156.02,-27.9
906,128.14,20.05
907,186.62,-53.64
908,172.01,-44.75
909,282.85,-47.79
910,173.08,-45.39
911,173.32,-45.59
912,190.03,-54.8
913,185.31,-52.74
914,222.48,-61.23
915,142.07,-4.34
916,155.26,-26.19
917,187.04,-53.34
918,140.59,-1.5
919,213.54,-60.29
920,140.92,-2.04
921,149.6,-17.01
922,137.14,5.
923,148.7,-15.49
924,163.84,-36.22
925,187.3,-52.98
926,176.17,-46.77
927,157.53,-28.47
928,157.53,-28.47
929,259.36,-57.5
930,143.14,-5.21
931,166.31,-38.06
932,132.11,14.08
933,145.59,-9.47
934,277.43,-50.34
935,185.87,-51.62
936,148.98,-14.9
937,144.58,-7.39
938,162.98,-34.21
939,289.93,-41.76
940,162.53,-33.35
941,147.12,-11.43
942,170.83,-41.3
943,222.28,-59.84
944,156.01,-24.78
945,156.9,-25.75
946,157.54,-26.48
947,150.23,-15.73
948,168.4,-38.41
949,146.06,-8.71
950,148.87,-13.3
951,162.6,-32.14
952,167.61,-37.4
953,214.63,-58.5
954,157.68,-25.95
955,184.19,-49.29
956,145.96,-8.25
957,201.29,-55.78
958,173.4,-41.99
959,287.07,-43.42
960,261.22,-55.59
961,130.66,17.16
962,181.5,-47.34
963,224.75,-59.04
964,141.57,-0.41
965,126.5,23.2
966,149.24,-12.92
967,137.24,6.93
968,253.82,-56.96
969,144.89,-5.66
970,238.21,-58.76
971,156.23,-22.85
972,162.38,-30.62
973,147.87,-10.41
974,226.36,-58.76
975,154.91,-20.9
976,153.87,-19.35
977,273.3,-50.9
978,155.47,-21.36
979,150.73,-14.39
980,219.41,-58.
981,295.34,-36.05
982,148.85,-11.36
983,187.86,-49.63
984,191.58,-51.31
985,137.46,7.06
986,151.51,-15.34
987,145.6,-6.06
988,192.19,-51.33
989,145.74,-6.12
990,228.37,-58.26
991,154.63,-19.43
992,182.52,-46.1
993,224.61,-57.71
994,213.26,-56.46
995,159.34,-25.11
996,178.22,-43.08
997,206.62,-55.15
998,258.81,-54.94
999,158.14,-23.46
1000,160.37,-26.17
1001,146.67,-6.74
1002,149.81,-11.58
1003,212.09,-56.
1004,216.21,-56.59
1005,163.66,-29.64
1006,279.12,-47.22
1007,178.32,-42.54
1008,250.78,-56.11
1009,138.46,6.44
1010,279.,-47.23
1011,146.78,-6.5
1012,159.43,-24.38
1013,220.75,-56.82
1014,283.83,-44.38
1015,164.27,-29.73
1016,215.54,-56.07
1017,146.57,-5.86
1018,219.04,-56.3
1019,156.09,-19.3
1020,144.5,-2.36
1021,258.4,-54.29
1022,161.78,-26.39
1023,177.72,-41.26
1024,191.8,-49.2
1025,293.66,-37.01
1026,151.58,-12.91
1027,164.58,-29.43
1028,170.87,-35.66
1029,147.2,-6.33
1030,174.12,-38.16
1031,231.95,-56.71
1032,134.7,12.72
1033,141.25,3.09
1034,147.52,-6.19
1035,141.5,2.88
1036,166.64,-30.61
1037,147.19,-5.46
1038,174.01,-37.25
1039,171.47,-35.06
1040,142.19,2.06
1041,156.6,-18.61
1042,237.74,-56.16
1043,141.94,2.49
1044,147.45,-5.7
1045,222.37,-55.7
1046,144.14,-0.75
1047,148.93,-7.8
1048,163.95,-27.29
1049,247.78,-55.3
1050,197.35,-50.01
1051,148.42,-6.73
1052,148.48,-6.83
1053,286.07,-42.15
1054,237.27,-55.85
1055,134.1,14.14
1056,147.9,-5.74
1058,237.56,-55.71
1059,147.84,-5.56
1060,191.86,-47.34
1061,173.32,-35.55
1062,199.55,-50.32
1063,148.68,-6.65
1064,285.65,-42.24
1065,161.21,-23.17
1066,172.07,-34.32
1067,178.04,-39.07
1068,142.64,2.24
1069,149.87,-8.22
1070,189.96,-46.18
1071,143.17,1.52
1072,150.61,-9.18
1073,144.84,-0.84
1074,156.32,-16.75
1075,249.21,-54.41
1076,247.06,-54.61
1077,142.05,3.39
1078,153.72,-13.09
1079,175.51,-36.55
1080,132.81,16.2
1081,256.87,-53.
1082,219.83,-54.18
1083,278.36,-45.94
1084,195.86,-48.04
1085,168.8,-30.19
1086,163.95,-25.14
1087,149.17,-6.09
1088,213.52,-52.78
1089,178.7,-38.17
1090,261.29,-51.65
1091,196.69,-47.9
1092,282.23,-43.68
1093,229.23,-54.48
1094,144.23,1.13
1095,230.61,-54.4
1096,275.72,-46.68
1097,152.76,-10.44
1098,198.66,-48.26
1099,184.91,-41.57
1100,207.47,-50.85
1101,185.12,-41.66
1102,171.46,-31.35
1103,167.43,-27.13
1104,281.13,-43.84
1105,140.84,6.44
1106,244.85,-53.51
1107,125.76,24.91
1108,194.29,-45.81
1109,293.79,-35.8
1110,170.9,-30.28
1111,192.27,-44.75
1112,142.87,3.9
1113,156.37,-14.04
1114,224.16,-53.08
1115,183.01,-39.42
1116,189.82,-43.37
1117,198.28,-47.14
1118,164.54,-23.55
1119,187.38,-41.97
1120,204.83,-49.12
1121,192.1,-44.18
1122,150.28,-5.77
1123,158.92,-16.7
1124,138.68,9.84
1125,200.36,-47.4
1126,169.,-27.51
1127,149.99,-5.06
1128,211.27,-50.46
1129,141.1,6.81
1130,151.56,-6.92
1131,160.36,-17.74
1132,169.31,-27.3
1133,157.64,-14.49
1134,230.88,-52.77
1135,153.83,-9.63
1136,198.1,-46.
1137,168.47,-26.26
1138,136.55,12.86
1139,199.05,-46.28
1140,166.04,-23.73
1141,152.,-7.11
1142,166.18,-23.85
1143,239.76,-52.69
1144,165.7,-23.26
1145,165.98,-23.53
1146,188.32,-41.08
1147,145.85,1.1
1148,136.31,13.27
1149,166.17,-23.51
1150,187.48,-40.49
1151,166.05,-23.36
1152,166.09,-23.36
1153,181.28,-36.39
1154,293.48,-35.59
1155,140.02,8.75
1156,166.57,-23.75
1157,245.19,-52.14
1158,141.45,7.03
1159,180.67,-35.81
1160,149.16,-2.9
1161,145.3,2.19
1162,201.55,-46.47
1163,160.08,-16.25
1164,161.02,-17.33
1165,166.67,-23.45
1166,138.26,11.18
1167,256.76,-50.51
1168,265.8,-48.46
1169,255.67,-50.63
1170,153.52,-8.1
1171,226.81,-51.61
1172,167.33,-23.83
1173,217.34,-50.32
1174,177.17,-32.53
1175,279.24,-43.54
1176,153.02,-7.22
1177,160.7,-16.42
1178,167.01,-23.23
1179,227.75,-51.5
1180,166.96,-23.17
1181,218.37,-50.3
1182,187.65,-39.43
1183,167.37,-23.4
1184,228.19,-51.4
1185,168.5,-24.44
1186,237.74,-51.73
1187,214.04,-49.27
1188,166.1,-21.93
1189,240.17,-51.53
1190,240.17,-51.53
1191,160.23,-15.14
1192,145.22,3.22
1193,168.97,-24.32
1194,176.12,-30.7
1195,237.88,-51.4
1196,136.36,13.96
1197,162.44,-17.52
1198,151.15,-3.98
1199,182.07,-34.88
1200,238.24,-51.16
1201,172.94,-27.41
1202,194.49,-41.74
1203,162.29,-16.69
1204,142.28,7.42
1205,143.53,5.9
1206,211.06,-47.44
1207,151.94,-4.33
1208,289.13,-37.8
1209,163.08,-17.14
1210,150.2,-2.1
1211,192.09,-40.1
1212,192.1,-40.1
1213,220.,-49.14
1214,235.57,-50.53
1215,160.47,-13.97
1216,254.43,-49.37
1217,202.97,-44.47
1218,169.59,-23.16
1219,244.38,-50.23
1220,157.35,-10.09
1221,169.1,-22.63
1222,168.19,-21.64
1223,160.9,-13.96
1224,183.49,-34.22
1225,200.29,-43.1
1226,158.23,-10.89
1227,262.79,-47.64
1228,160.37,-13.11
1229,158.42,-10.75
1230,130.51,20.91
1231,205.16,-44.47
1232,195.68,-40.48
1233,180.07,-30.98
1234,159.9,-11.91
1235,204.2,-43.75
1236,276.74,-43.11
1237,174.34,-26.15
1238,173.65,-25.5
1239,178.37,-29.38
1240,219.65,-47.62
1241,139.15,12.18
1242,145.51,5.03
1243,180.76,-30.8
1244,191.88,-37.81
1245,268.5,-45.53
1246,229.23,-48.71
1247,274.02,-43.78
1248,141.38,9.91
1249,190.74,-36.87
1250,260.82,-47.14
1251,184.68,-33.06
1252,169.67,-20.79
1253,185.31,-33.28
1254,182.78,-31.53
1255,149.18,1.4
1256,171.28,-22.15
1257,187.9,-34.77
1258,214.57,-45.74
1259,214.62,-45.7
1260,143.68,7.66
1261,151.63,-1.32
1262,171.44,-22.1
1263,209.94,-44.34
