hostname,pl_orbsmax,pl_bmassj,pl_radj
"CoRoT-9",0.402700,0.82600,1.037
"HAT-P-3",0.038940,0.59900,0.890
"CoRoT-10",0.105500,2.73000,0.970
"HD 2685",0.056800,1.17000,1.440
"HD 219134",0.038760,0.01491,0.143
"Kepler-35",0.603470,0.12700,0.728
"OGLE-TR-113",0.022800,1.35000,1.080
"WASP-54",0.049870,0.63600,1.653
"CoRoT-9",0.407000,0.84000,1.050
"K2-292",0.130000,0.07709,0.235
"WASP-62",0.056700,0.57000,1.390
"HAT-P-37",0.037930,1.20000,1.178
"K2-19",0.100100,0.05003,0.402
"WASP-15",0.049900,0.54200,1.428
"K2-33",0.040900,3.60000,0.514
"WASP-2",0.031400,0.92500,1.071
"Kepler-8",0.048350,0.56000,1.419
"TOI-564",0.027340,1.46300,1.020
"WASP-172",0.069400,0.47000,1.570
"Kepler-7",0.063240,0.45300,1.649
"WASP-38",0.075220,2.69100,1.094
"TOI-421",0.118900,0.05166,0.454
"TrES-2",0.036700,1.44000,1.245
"HAT-P-4",0.044380,0.67100,1.274
"WASP-123",0.042630,0.89900,1.318
"Kepler-1514",0.753000,5.28000,1.108
"WASP-66",0.054600,2.32000,1.390
"Kepler-7",0.063300,0.44900,1.649
"WASP-76",0.033000,0.92000,1.830
"WASP-34",0.052400,0.59000,1.220
"HD 1397",0.109700,0.41500,1.026
"WASP-176",0.053500,0.85500,1.505
"Kepler-11",0.091000,0.00600,0.161
"WASP-75",0.037500,1.07000,1.270
"HD 189733",0.030990,1.14400,1.138
"WASP-14",0.037000,7.59000,1.240
"WASP-1",0.038890,0.84600,1.449
"TrES-2",0.035630,1.20200,1.187
"WASP-70 A",0.048550,0.59700,1.164
"WASP-29",0.045650,0.24400,0.776
"WASP-117",0.094640,0.27610,1.021
"TOI-178",0.078300,0.01214,0.197
"CoRoT-12",0.040160,0.91700,1.440
"TrES-2",0.036700,1.19700,1.247
"WASP-178",0.055800,1.66000,1.810
"HATS-10",0.044930,0.58500,0.969
"WASP-5",0.026700,1.58000,1.087
"HATS-2",0.022980,1.53000,1.168
"TOI-178",0.059200,0.00947,0.229
"NGTS-1",0.032600,0.81200,1.330
"HAT-P-55",0.046040,0.58200,1.182
"TOI-1266",0.073600,0.04248,0.211
"WASP-78",0.034880,0.81700,1.590
"HD 80606",0.456400,4.11400,1.003
"Kepler-75",0.081700,10.10000,1.050
"HATS-17",0.130800,1.33800,0.777
"CoRoT-1",0.025900,1.07000,1.420
"K2-285",0.082400,0.04933,0.315
"K2-30",0.048390,0.57900,1.039
"TOI-942",0.084700,2.50000,0.517
"TOI-1478",0.090300,0.85100,1.060
"Kepler-20",0.345300,0.06300,0.245
"OGLE-TR-111",0.046890,0.55000,1.051
"Kepler-41",0.028950,0.49300,0.852
"K2-285",0.180410,0.03367,0.174
"Kepler-17",0.026800,2.47000,1.330
"WASP-45",0.040540,1.00300,1.160
"OGLE-TR-111",0.047000,0.53000,1.000
"K2-238",0.046000,0.86000,1.300
"K2-263",0.257300,0.04657,0.215
"WASP-56",0.056140,0.59900,1.092
"WASP-90",0.056200,0.63000,1.630
"Kepler-11",0.195000,0.02500,0.374
"Kepler-6",0.045670,0.66900,1.323
"XO-3",0.045390,11.70000,1.217
"TOI-1338",0.460700,0.10383,0.611
"K2-295",0.045100,0.33500,0.897
"HAT-P-12",0.038400,0.21100,0.959
"WASP-88",0.064380,0.57000,1.700
"WASP-3",0.031820,1.89000,1.416
"OGLE-TR-182",0.052050,1.07000,1.470
"KELT-6",0.079390,0.43000,1.193
"HAT-P-2",0.067900,8.72000,1.003
"K2-30",0.049860,0.62300,1.196
"Kepler-10",0.016870,0.01447,0.130
"Kepler-75",0.080000,9.90000,1.030
"TOI-640",0.066080,0.88000,1.771
"WASP-97",0.033050,1.32300,1.130
"HAT-P-11",0.053000,0.08100,0.422
"HAT-P-32",0.034300,0.86000,1.789
"KELT-2 A",0.054960,1.52200,1.286
"Kepler-76",0.027800,2.00000,1.250
"WASP-6",0.042170,0.48300,1.224
"WASP-7",0.061880,1.08300,1.363
"WASP-95",0.034150,1.20400,1.210
"WASP-92",0.034800,0.80500,1.461
"CoRoT-2",0.028350,3.57000,1.460
"WASP-12",0.023090,1.43000,1.825
"TrES-4",0.050920,0.92000,1.751
"Kepler-107",0.060640,0.02954,0.142
"WASP-80",0.034600,0.55400,0.952
"WASP-12",0.023120,1.39000,1.825
"WASP-69",0.045270,0.25000,1.057
"HAT-P-38",0.052310,0.26700,0.825
"TrES-2",0.035580,1.20000,1.224
"Kepler-11",0.107000,0.00900,0.256
"WASP-8",0.080100,2.13200,1.038
"WASP-31",0.046590,0.47800,1.549
"WASP-168",0.051900,0.42000,1.500
"K2-114",0.093090,1.85000,0.942
"Kepler-87",0.481000,1.02000,1.204
"K2-39",0.062000,0.15826,0.732
"HATS-6",0.036230,0.31900,0.998
"HAT-P-43",0.044450,0.73000,1.281
"WASP-60",0.053110,0.50500,0.860
"WASP-57",0.037720,0.64300,1.050
"WASP-62",0.056720,0.56800,1.390
"HAT-P-8",0.044960,1.35400,1.500
"GJ 3473",0.015890,0.00585,0.113
"Kepler-15",0.057140,0.66000,0.960
"WASP-164",0.028180,2.13000,1.128
"1RXS J160929.1-210524",330.000000,8.00000,1.664
"WASP-138",0.049400,1.22000,1.090
"Kepler-9",0.227000,0.09408,0.721
"WASP-106",0.091700,1.92500,1.085
"K2-36",0.054000,0.02454,0.285
"TOI-1601",0.068640,0.99000,1.239
"WASP-2",0.030330,0.84700,1.043
"POTS-1",0.037340,2.31000,0.941
"K2-24",0.154000,0.06607,0.507
"WASP-59",0.069700,0.86300,0.775
"HAT-P-20",0.036100,7.24600,0.867
"Kepler-18",0.075200,0.05400,0.490
"TOI-849",0.015980,0.12299,0.307
"Qatar-2",0.021490,2.48700,1.144
"HAT-P-9",0.052900,0.76100,1.400
"TOI-132",0.026000,0.07048,0.305
"TOI-561",0.010550,0.00500,0.127
"NGTS-14 A",0.040300,0.09200,0.444
"Kepler-56",0.102800,0.07000,0.581
"EPIC 249893012",0.220000,0.03203,0.352
"Kepler-454",0.095400,0.02152,0.211
"HAT-P-24",0.046510,0.72300,1.242
"GJ 9827",0.039250,0.00264,0.111
"TOI-178",0.127500,0.01240,0.256
"HD 97658",0.080000,0.02400,0.200
"TOI-178",0.037000,0.01501,0.149
"Kepler-41",0.030000,0.55000,0.890
"GJ 436",0.028720,0.07300,0.370
"NGTS-18",0.044800,0.40900,1.210
"NGTS-15",0.044100,0.75100,1.100
"NGTS-17",0.039100,0.76400,1.240
"NGTS-16",0.052300,0.66700,1.300
"LHS 1478",0.018480,0.00733,0.111
"TOI-257",0.152800,0.13800,0.639
"HD 5278",0.120200,0.02454,0.219
