year,lat
1917.621,-24.4
1917.621,-11.4
1917.621,6.8
1917.621,16.5
1917.621,13.0
1917.621,15.9
1917.623,-15.4
1917.623,-22.8
1917.623,-23.4
1917.623,-22.8
1917.623,-26.3
1917.623,-10.7
1917.623,7.6
1917.623,17.3
1917.623,13.5
1917.626,-14.6
1917.626,-23.6
1917.626,-24.4
1917.626,-11.2
1917.626,7.8
1917.626,17.8
1917.629,-23.1
1917.629,-23.2
1917.629,-10.4
1917.629,7.5
1917.629,18.2
1917.632,-24.5
1917.632,-24.0
1917.632,-10.6
1917.632,7.6
1917.634,-24.5
1917.634,-11.6
1917.656,-17.5
1917.656,2.4
1917.656,8.9
1917.656,16.3
1917.656,14.7
1917.656,16.6
1917.659,-16.6
1917.659,0.9
1917.659,6.1
1917.659,16.6
1917.659,14.9
1917.662,-15.0
1917.662,0.8
1917.662,5.4
1917.662,16.4
1917.662,16.5
1917.664,-4.7
1917.664,1.5
1917.664,-15.3
1917.664,-16.6
1917.664,-16.9
1917.664,4.8
1917.667,2.2
1917.667,-14.3
1917.667,-16.7
1917.667,-13.0
1917.670,-16.9
1917.670,-14.7
1917.670,-10.2
1917.670,17.5
1917.670,16.6
1917.672,-22.6
1917.672,-14.6
1917.672,-10.2
1917.672,-13.0
1917.672,16.7
1917.672,18.0
1917.675,-14.6
1917.675,-10.0
1917.675,-14.6
1917.675,14.8
1917.675,18.0
1917.678,-14.1
1917.678,-14.5
1917.678,-10.0
1917.678,-14.4
1917.678,15.4
1917.678,18.3
1917.681,-14.2
1917.681,-9.8
1917.681,-16.2
1917.681,7.0
1917.681,16.8
1917.681,18.6
1917.683,-13.6
1917.683,-9.7
1917.683,-17.1
1917.683,16.9
1917.686,-10.0
1917.686,-16.0
1917.686,17.5
1917.689,-10.6
1917.689,-22.4
1917.689,-16.5
1917.689,12.1
1917.689,10.5
1917.689,16.4
1917.692,-17.0
1917.692,7.7
1917.692,9.6
1917.692,11.3
1917.692,17.7
1917.694,-23.2
1917.694,-16.6
1917.694,-25.9
1917.694,6.4
1917.694,9.5
1917.694,11.1
1917.697,-24.0
1917.697,-17.3
1917.697,7.8
1917.697,10.5
1917.700,-16.5
1917.700,7.5
1917.700,10.3
1917.703,-16.4
1917.703,7.7
1917.703,24.2
1917.703,28.1
1917.703,10.6
1917.705,7.9
1917.705,10.6
1917.705,-12.6
1917.705,24.5
1917.708,24.8
1917.711,-15.7
1917.711,24.1
1917.714,-14.0
1917.714,10.9
1917.714,24.7
1917.716,-12.1
1917.716,-13.3
1917.716,-15.4
1917.716,13.2
1917.716,15.8
1917.716,15.5
1917.716,24.3
1917.719,-21.6
1917.719,-17.4
1917.719,-16.8
1917.719,-7.3
1917.719,14.6
1917.719,16.3
1917.719,12.1
1917.719,25.6
1917.722,15.2
1917.722,16.0
1917.722,13.2
1917.725,-11.9
1917.725,14.3
1917.727,-13.9
1917.727,-16.9
1917.727,13.4
1917.730,9.0
1917.733,7.4
1917.735,-16.4
1917.735,-6.8
1917.735,-16.1
1917.735,-9.3
1917.735,-17.1
1917.735,7.6
1917.738,-15.2
1917.738,-8.8
1917.738,-17.7
1917.738,7.9
1917.746,-17.1
1917.746,-17.2
1917.752,-19.0
1917.752,-17.4
1917.755,-16.4
1917.755,-16.2
1917.755,-24.7
1917.757,-23.2
1917.760,-18.0
1917.760,-22.9
1917.760,20.8
1917.763,18.6
1917.766,3.9
1917.766,20.3
1917.768,-8.7
1917.768,20.2
1917.771,-9.2
1917.771,20.9
1917.774,21.7
1917.779,6.4
1917.782,12.6
1917.796,-12.5
1917.796,12.8
1917.796,10.1
1917.798,-12.7
1917.798,11.0
1917.798,9.9
1917.798,19.3
1917.798,12.7
1917.801,-12.6
1917.801,9.3
1917.801,8.6
1917.801,6.1
1917.801,19.1
1917.801,17.6
1917.801,12.1
1917.804,-12.4
1917.804,-20.8
1917.804,8.5
1917.804,10.1
1917.804,19.7
1917.804,18.1
1917.806,7.6
1917.809,-20.8
1917.809,8.3
1917.809,9.2
1917.809,19.5
1917.809,19.8
1917.809,14.0
1917.812,-21.2
1917.812,20.5
1917.812,9.1
1917.812,10.5
1917.812,21.3
1917.815,-19.4
1917.815,22.2
1917.815,7.4
1917.815,8.5
1917.818,-19.1
1917.818,-16.5
1917.818,22.8
1917.820,-19.9
1917.820,-18.8
1917.826,-7.6
1917.826,-20.7
1917.826,-18.0
1917.829,-9.7
1917.829,-21.2
1917.829,-17.8
1917.829,24.8
1917.829,5.9
1917.831,-19.4
1917.831,-20.9
1917.831,22.5
1917.834,-15.0
1917.834,22.1
1917.837,24.0
1917.839,-14.1
1917.839,22.9
1917.839,24.7
1917.839,23.1
1917.842,-14.1
1917.861,-22.5
1917.861,-8.9
1917.861,15.5
1917.864,-22.3
1917.864,-9.0
1917.864,12.4
1917.867,-18.0
1917.867,-9.1
1917.867,12.5
1917.867,9.7
1917.869,-17.1
1917.869,-8.2
1917.869,15.2
1917.869,15.1
1917.869,12.9
1917.869,9.6
1917.872,-18.2
1917.872,-9.0
1917.872,15.1
1917.872,13.5
1917.875,-17.3
1917.875,-8.4
1917.875,14.5
1917.875,13.5
1917.875,8.5
1917.878,-8.8
1917.878,8.2
1917.878,7.6
1917.878,15.3
1917.878,13.5
1917.880,-15.8
1917.880,-9.8
1917.880,9.2
1917.880,15.1
1917.880,12.0
1917.883,-8.4
1917.883,9.3
1917.883,15.5
1917.886,-28.6
1917.886,-12.0
1917.886,-8.9
1917.886,-6.5
1917.886,9.0
1917.886,15.7
1917.889,-29.2
1917.889,-8.8
1917.889,-6.0
1917.889,18.0
1917.889,9.2
1917.891,-27.6
1917.891,-15.9
1917.891,-9.9
1917.891,-8.3
1917.891,9.7
1917.893,-27.0
1917.893,-14.1
1917.893,-8.9
1917.893,-16.3
1917.893,-13.3
1917.897,-14.9
